time x y z yaw
16.480 35.5148 -1.3072 0.3292 1.5708
16.512 35.5370 -1.3071 0.3292 1.5708
16.544 35.5592 -1.3069 0.3292 1.5708
16.576 35.5813 -1.3067 0.3292 1.5708
16.608 35.6035 -1.3066 0.3292 1.5708
16.640 35.6257 -1.3064 0.3292 1.5708
16.672 35.6479 -1.3063 0.3292 1.5708
16.704 35.6700 -1.3061 0.3292 1.5708
16.736 35.6922 -1.3059 0.3292 1.5708
16.768 35.7144 -1.3058 0.3292 1.5707
16.800 35.7366 -1.3056 0.3292 1.5707
16.832 35.7587 -1.3054 0.3292 1.5707
16.864 35.7809 -1.3053 0.3292 1.5707
16.896 35.8031 -1.3051 0.3292 1.5707
16.928 35.8253 -1.3050 0.3292 1.5707
16.960 35.8474 -1.3048 0.3292 1.5707
16.992 35.8696 -1.3046 0.3292 1.5707
17.024 35.8918 -1.3045 0.3292 1.5707
17.056 35.9140 -1.3043 0.3292 1.5707
17.088 35.9361 -1.3042 0.3292 1.5707
17.120 35.9583 -1.3040 0.3292 1.5707
17.152 35.9805 -1.3038 0.3292 1.5707
17.184 36.0027 -1.3037 0.3292 1.5707
17.216 36.0248 -1.3035 0.3292 1.5708
17.248 36.0470 -1.3033 0.3292 1.5708
17.280 36.0692 -1.3032 0.3292 1.5708
17.312 36.0914 -1.3030 0.3292 1.5708
17.344 36.1136 -1.3029 0.3292 1.5708
17.376 36.1357 -1.3027 0.3292 1.5708
17.408 36.1579 -1.3025 0.3292 1.5708
17.440 36.1801 -1.3024 0.3292 1.5708
17.472 36.2023 -1.3022 0.3292 1.5708
17.504 36.2244 -1.3021 0.3292 1.5708
17.536 36.2466 -1.3019 0.3292 1.5708
17.568 36.2688 -1.3017 0.3292 1.5708
17.600 36.2910 -1.3016 0.3292 1.5708
17.632 36.3131 -1.3014 0.3292 1.5708
17.664 36.3353 -1.3012 0.3292 1.5708
17.696 36.3575 -1.3011 0.3292 1.5708
17.728 36.3797 -1.3009 0.3292 1.5708
17.760 36.4018 -1.3008 0.3292 1.5707
17.792 36.4240 -1.3006 0.3292 1.5707
17.824 36.4462 -1.3004 0.3292 1.5707
